 freq_hz  | rolling_mean | signal_dbm 
 88430406 |   -15.024117 |      -14.2
 88433130 |   -14.971176 |     -14.49
 88435854 |   -14.887059 |      -13.7
 88438578 |   -14.709412 |     -13.11
 88441303 |   -14.562353 |     -13.58
 88444027 |   -14.418823 |     -13.34
 88446751 |   -14.261176 |     -12.87
 88449475 |   -14.097647 |     -12.85
 88452199 |   -13.947059 |     -12.64
 88454923 |   -13.787647 |     -12.03
 88457647 |  -13.4564705 |      -8.33
 88460371 |   -13.086471 |      -8.75
 88463095 |   -12.767647 |      -9.35
 88465819 |   -12.394117 |      -8.45
 88468543 |   -11.912353 |      -6.23
 88471268 |   -11.308824 |      -4.29
 88473992 |   -10.677647 |      -3.31
 88476716 |    -9.918235 |      -1.29
 88479440 |   -8.8611765 |       3.48
 88482164 |    -7.912941 |       2.42
 88484888 |    -6.975294 |       2.83
 88487612 |   -6.0005884 |       2.99
 88490336 |   -4.9958825 |       3.74
 88493060 |    -3.995294 |       4.14
 88495784 |   -2.7958825 |       7.54
 88498508 |   -1.4635295 |      10.01
 88501233 |  -0.34294116 |       7.02
 88503957 |   0.46529412 |       5.41
 88506681 |    1.2835294 |       5.16
 88509405 |    2.1358824 |       5.14
 88512129 |    2.8894117 |       4.36
 88514853 |     3.514706 |        4.4
 88517577 |    4.0270586 |       4.42
 88520301 |    4.4588237 |       4.03
 88523025 |     4.705294 |        2.9
 88525749 |     4.630588 |       2.21
 88528473 |    4.5252943 |       0.63
 88531198 |     4.368235 |       0.16
 88533922 |     4.179412 |      -0.22
 88536646 |    3.8047059 |      -2.63
 88539370 |    3.2464707 |      -5.35
 88542094 |    2.4405882 |      -6.16
 88544818 |     1.372353 |      -8.15
 88547542 |   0.45705882 |      -8.54
 88550266 |  -0.40294117 |      -9.21
 88552990 |    -1.377647 |     -11.41
 88555714 |   -2.3729413 |     -11.78
 88558438 |   -3.4082353 |     -13.24
 88561163 |   -4.4805884 |     -13.83
 88563887 |    -5.578235 |     -14.24
 88566611 |    -6.655294 |     -14.28
 88569335 |   -7.6941175 |     -14.76
 88572059 |    -8.617059 |     -13.48
 88574783 |     -9.51353 |     -14.61
 88577507 |   -10.405882 |     -15.01
 88580231 |   -11.270588 |     -14.92
 88582955 |   -12.016471 |     -15.31
 88585679 |   -12.651176 |     -16.14
 88588403 |   -13.172941 |     -15.03
 88591128 |   -13.595882 |     -15.34
 88593852 |   -13.991177 |     -15.26
 88596576 |   -14.404118 |     -16.23
 88599300 |   -14.652941 |     -15.64
 88602024 |       -14.86 |      -15.3
 88604748 |   -14.982353 |     -15.32
 88607472 |    -15.01353 |     -14.36
 88610196 |   -15.103529 |     -15.77
 88612920 |   -15.179412 |     -15.57
 88615644 |   -15.171764 |     -14.63
 88618368 |   -15.275883 |     -15.25
 88621093 |   -15.282941 |     -14.73
 88623817 |  -15.2658825 |     -14.72
 88626541 |  -15.2658825 |     -14.92
 88629265 |   -15.215882 |     -14.46
 88631989 |   -15.162353 |     -15.23
 88634713 |   -15.175294 |     -15.25
 88637437 |   -15.121177 |     -14.42
 88640161 |   -15.118236 |     -15.21
 88642885 |   -15.030588 |     -14.74
 88645609 |   -14.962353 |     -14.48
 88648333 |  -14.8970585 |     -14.19
 88651058 |   -14.862353 |     -14.73
 88653782 |   -14.882941 |     -14.71
 88656506 |   -14.805882 |     -14.46
 88659230 |       -14.71 |     -13.94
 88661954 |   -14.641765 |     -13.47
 88664678 |   -14.555294 |     -13.78
 88667402 |   -14.550589 |     -14.65
 88670126 |   -14.596471 |      -15.5
 88672850 |    -14.53647 |      -13.9
 88675574 |  -14.5158825 |     -14.11
 88678298 |       -14.49 |     -14.79
 88681023 |   -14.425882 |     -14.16
 88683747 |   -14.419412 |     -14.31
 88686471 |   -14.341764 |     -13.89
 88689195 |   -14.301176 |     -14.05
 88691919 |   -14.296471 |      -14.4
 88694643 |   -14.357647 |     -15.23
 88697367 |   -14.415294 |     -15.71
 88700091 |   -14.483529 |     -15.87
 88702815 |   -14.558235 |     -15.73
 88705539 |  -14.6747055 |     -15.92
 88708263 |   -14.791764 |     -15.46
 88710987 |       -15.04 |        -18
 88713712 |   -15.148235 |     -16.49
 88716436 |   -15.212941 |      -16.6
 88719160 |   -15.371765 |      -16.6
 88721884 |   -15.482942 |        -16
 88724608 |   -15.521176 |     -15.44
 88727332 |   -15.644117 |     -16.25
 88730056 |    -15.76353 |     -16.34
 88732780 |   -15.892353 |     -16.08
 88735504 |   -16.077646 |      -17.2
 88738228 |   -16.124706 |      -15.2
 88740952 |   -16.175882 |      -16.1
 88743677 |   -16.214117 |     -16.36
 88746401 |   -16.239412 |      -16.3
 88749125 |   -16.235882 |     -15.67
 88751849 |   -16.225882 |     -15.75
 88754573 |    -16.32059 |     -17.07
 88757297 |   -16.245882 |     -16.73
 88760021 |    -16.24059 |      -16.4
 88762745 |   -16.250587 |     -16.77
 88765469 |   -16.191177 |     -15.59
 88768193 |       -16.16 |     -15.47
 88770917 |    -16.12353 |     -14.82
 88773642 |   -16.087059 |     -15.63
 88776366 |   -16.068235 |     -16.02
 88779090 |   -16.037647 |     -15.56
 88781814 |   -16.005882 |     -16.66
 88784538 |    -16.04353 |     -15.84
 88787262 |  -15.9923525 |     -15.23
 88789986 |   -15.971765 |     -16.01
 88792710 |   -15.964118 |     -16.17
 88795434 |   -16.034117 |     -16.86
 88798158 |   -16.061176 |     -16.21
 88800882 |   -16.008823 |     -16.18
 88803607 |   -15.873529 |     -14.43
 88806331 |       -15.88 |     -16.51
 88809055 |   -15.842353 |     -16.13
 88811779 |   -15.949411 |     -17.41
 88814503 |   -15.972941 |     -15.87
 88817227 |   -16.094706 |     -16.89
 88819951 |   -16.121765 |     -16.09
 88822675 |   -16.159412 |     -16.66
 88825399 |   -16.272942 |     -17.49
 88828123 |   -16.305294 |     -17.21
 88830847 |   -16.398823 |     -17.43
 88833572 |   -16.448824 |     -16.08
 88836296 |   -16.372942 |     -14.72
 88839020 |   -16.310589 |     -15.11
 88841744 |   -16.281765 |     -16.37
 88844468 |   -16.332941 |     -17.08
 88847192 |   -16.351765 |      -16.5
 88849916 |   -16.488235 |     -16.75
 88852640 |   -16.504118 |     -16.78
 88855364 |   -16.522942 |     -16.45
 88858088 |   -16.471766 |     -16.54
 88860812 |   -16.527647 |     -16.82
 88863537 |   -16.535883 |     -17.03
 88866261 |   -16.552353 |     -16.37
 88868985 |   -16.433529 |     -14.64
 88871709 |       -16.29 |     -15.05
 88874433 |    -16.19647 |     -15.62
 88877157 |   -16.162941 |     -16.86
 88879881 |   -16.178823 |     -16.35
 88882605 |   -16.255295 |     -16.02
 88885329 |   -16.353529 |     -16.78
 88888053 |   -16.315294 |     -15.72
 88890777 |   -16.287058 |      -16.6
 88893502 |   -16.269411 |      -16.2
 88896226 |   -16.217648 |     -15.87
 88898950 |   -16.195293 |      -16.4
 88901674 |   -16.097647 |     -14.79
 88904398 |   -15.928823 |     -13.67
 88907122 |   -15.868824 |      -15.8
 88909846 |   -15.778235 |     -15.49
 88912570 |   -15.804706 |     -16.82
 88915294 |   -15.891765 |     -16.12
 88918018 |       -15.98 |     -16.55
 88920742 |       -16.04 |     -16.64
 88923467 |   -15.990588 |     -16.02
 88926191 |    -15.94647 |      -15.6
 88928915 |  -15.9482355 |     -16.05
 88931639 |   -15.875882 |     -15.55
 88934363 |  -15.8970585 |     -16.08
 88937087 |   -15.811176 |     -15.14
 88939811 |   -15.758235 |      -15.3
 88942535 |   -15.748236 |      -15.7
 88945259 |   -15.734706 |     -16.17
 88947983 |    -15.78647 |     -15.67
 88950707 |   -15.885882 |     -15.36
 88953432 |   -15.832353 |     -14.89
 88956156 |   -15.837647 |     -15.58
 88958880 |   -15.779411 |     -15.83
 88961604 |    -15.74647 |     -15.56
 88964328 |   -15.672941 |      -15.3
 88967052 |   -15.592353 |     -15.27
 88969776 |   -15.427647 |     -13.22
 88972500 |   -15.381176 |     -14.81
 88975224 |   -15.300589 |     -14.68
 88977948 |   -15.294706 |     -15.45
 88980672 |   -15.180588 |     -14.14
 88983396 |   -15.146471 |     -14.56
 88986121 |   -15.101176 |     -14.53
 88988845 |   -14.991177 |     -13.83
 88991569 |   -14.844706 |     -13.68
 88994293 |   -14.755294 |     -14.15
 88997017 |  -14.7423525 |     -15.14
 88999741 |   -14.733529 |     -14.74
 89002465 |   -14.644117 |     -14.06
 89005189 |   -14.485294 |     -13.13
 89007913 |   -14.405882 |     -14.21
 89010637 |   -14.331177 |     -14.03
 89013361 |   -14.215882 |     -13.31
 89016086 |   -14.251177 |     -13.82
 89018810 |   -14.184117 |     -13.67
 89021534 |   -14.087059 |     -13.03
 89024258 |   -13.995295 |     -13.89
 89026982 |   -13.907059 |     -12.64
 89029706 |    -13.82647 |     -13.19
 89032430 |   -13.730588 |      -12.9
 89035154 |   -13.648235 |     -12.43
 89037878 |   -13.644117 |     -13.61
 89040602 |   -13.583529 |     -13.12
 89043326 |   -13.502353 |     -13.76
 89046051 |   -13.430588 |     -13.52
 89048775 |   -13.391176 |     -13.39
 89051499 |   -13.418823 |      -13.6
 89054223 |   -13.359412 |      -13.2
 89056947 |   -13.307647 |     -13.15
 89059671 |   -13.312353 |     -13.39
 89062395 |   -13.301176 |     -13.63
 89065119 |   -13.284118 |     -13.38
 89067843 |   -13.302353 |     -13.34
 89070567 |  -13.2341175 |     -12.73
 89073291 |  -13.2341175 |     -12.64
 89076016 |   -13.251177 |     -13.48
 89078740 |   -13.284118 |     -13.46
 89081464 |   -13.297059 |     -12.65
 89084188 |   -13.288236 |     -13.46
 89086912 |   -13.307059 |     -13.44
 89089636 |    -13.22353 |     -12.34
 89092360 |   -13.020588 |     -10.07
 89095084 |   -12.975294 |     -12.62
 89097808 |   -12.947059 |     -13.12
