 88000000    -11.432941       -20.8
 88002724    -12.718235      -22.31
 88005448    -13.972941      -21.37
 88008172    -15.267647      -21.65
 88010896    -16.587059      -22.33
 88013620    -17.862942      -20.93
 88016345    -19.175295      -22.36
 88019069    -20.460588      -21.14
 88021793    -21.677647      -21.47
 88024517    -21.792942      -21.85
 88027241    -21.772352      -21.33
 88029965    -21.832354      -22.01
 88032689    -21.921764      -22.43
 88035413    -21.912941      -21.69
 88038137     -21.97647      -22.31
 88040861    -21.967058      -21.85
 88043585    -22.058235      -20.69
 88046310         -22.1      -22.76
 88049034    -22.085882      -21.96
 88051758    -22.191177      -22.39
 88054482     -22.12353      -23.17
 88057206    -22.166471      -22.18
 88059930    -22.249413      -22.01
 88062654    -22.234705       -22.2
 88065378    -22.238823      -22.69
 88068102    -22.331177      -22.18
 88070826    -22.269411      -21.61
 88073550    -22.316471      -23.12
 88076275     -22.25941      -20.86
 88078999    -22.148235      -23.16
 88081723     -22.12353       -23.1
 88084447    -22.130589      -22.06
 88087171    -22.064707      -21.92
 88089895    -22.014118      -22.26
 88092619    -22.022942      -21.71
 88095343    -22.082941      -22.76
 88098067    -22.030588      -21.42
 88100791     -22.11647      -21.28
 88103515    -22.039412      -21.76
 88106240     -21.98294      -22.13
 88108964    -22.014118      -21.08
 88111688    -22.025883      -21.83
 88114412    -22.005882      -22.33
 88117136     -22.05647      -22.63
 88119860    -22.041765      -22.23
 88122584    -22.101177      -22.32
 88125308    -22.127058      -21.85
 88128032    -22.164118      -22.14
 88130756    -22.132353      -22.59
 88133480    -22.155294      -22.12
 88136205    -22.201176      -21.92
 88138929    -22.187647      -22.57
 88141653    -22.148823      -22.51
 88144377    -22.137058      -22.43
 88147101    -22.084705      -21.72
 88149825    -22.049412      -22.39
 88152549    -21.948824      -21.59
 88155273    -21.758236      -21.47
 88157997    -21.731176      -22.61
 88160721    -21.669413       -22.1
 88163445    -21.565882      -21.97
 88166169    -21.498236      -22.03
 88168894    -21.389412      -21.43
 88171618    -21.234118      -21.25
 88174342    -21.087646      -20.43
 88177066    -21.022942      -19.35
 88179790     -20.94706      -21.66
 88182514    -20.817059      -20.87
 88185238    -20.662941      -20.81
 88187962    -20.468235      -21.36
 88190686    -20.304707      -20.58
 88193410    -20.211176      -19.08
 88196134    -20.124706       -19.9
 88198859    -20.092354      -20.49
 88201583     -20.09706      -20.18
 88204307    -19.977058       -20.4
 88207031    -19.934706      -19.48
 88209755     -19.85706      -18.66
 88212479    -19.771765      -19.25
 88215203    -19.732353      -19.84
 88217927    -19.805294      -19.78
 88220651    -19.764118      -19.88
 88223375     -19.72353      -19.43
 88226099    -19.732353      -19.62
 88228824    -19.672941      -20.15
 88231548    -19.719412      -19.49
 88234272    -19.817648      -19.91
 88236996    -19.828823      -19.91
 88239720    -19.779411      -20.32
 88242444    -19.744705       -19.2
 88245168    -19.741764       -19.8
 88247892    -19.724117      -20.33
 88250616    -19.614706      -19.39
 88253340    -19.541176      -20.27
 88256064    -19.522352      -20.33
 88258789    -19.434706      -19.44
 88261513     -19.33647         -19
 88264237    -19.265295      -19.19
 88266961    -19.231764      -19.83
 88269685    -19.107647      -19.13
 88272409    -18.980589      -17.76
 88275133    -18.910587       -18.9
 88277857    -18.784117      -19.17
 88280581    -18.558235      -18.42
 88283305    -18.438824      -18.24
 88286029    -18.178823      -19.11
 88288754    -17.989412      -18.63
 88291478    -17.739412      -17.69
 88294202     -17.56294      -18.17
 88296926    -17.462942       -18.2
 88299650    -17.288824      -18.12
 88302374    -17.141766      -16.49
 88305098    -16.962353      -17.41
 88307822    -16.769411      -14.58
 88310546    -16.577646      -15.97
 88313270    -16.397058      -15.58
 88315994         -16.2      -16.13
 88318719        -15.97      -16.06
